M,K,Label,Both_Hands,F_Index,F_Middle,F_Pinky,F_Ring,F_Thumb,M_Back,M_Down,M_Front,M_In,M_Iterative,M_Out,M_Up,O_Back,O_Down,O_Front,O_In,O_Out,O_Up,feature_path_m,feature_path_k
train/143/M_28406.avi,train/143/K_28406.avi,96,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_28406.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_28406.npy
train/025/M_04922.avi,train/025/K_04922.avi,94,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_04922.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_04922.npy
train/156/M_31169.avi,train/156/K_31169.avi,160,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_31169.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_31169.npy
train/091/M_18113.avi,train/091/K_18113.avi,209,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_18113.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_18113.npy
train/098/M_19425.avi,train/098/K_19425.avi,31,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_19425.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_19425.npy
train/175/M_34913.avi,train/175/K_34913.avi,37,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_34913.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_34913.npy
train/040/M_07840.avi,train/040/K_07840.avi,94,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_07840.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_07840.npy
train/020/M_03912.avi,train/020/K_03912.avi,127,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_03912.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_03912.npy
train/148/M_29600.avi,train/148/K_29600.avi,239,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_29600.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_29600.npy
train/088/M_17508.avi,train/088/K_17508.avi,31,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_17508.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_17508.npy
train/035/M_06818.avi,train/035/K_06818.avi,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_06818.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_06818.npy
train/103/M_20490.avi,train/103/K_20490.avi,92,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_20490.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_20490.npy
train/149/M_29692.avi,train/149/K_29692.avi,92,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_29692.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_29692.npy
train/091/M_18081.avi,train/091/K_18081.avi,96,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_18081.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_18081.npy
train/095/M_18887.avi,train/095/K_18887.avi,94,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_18887.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_18887.npy
train/091/M_18011.avi,train/091/K_18011.avi,52,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_18011.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_18011.npy
train/065/M_12860.avi,train/065/K_12860.avi,38,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_12860.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_12860.npy
train/028/M_05472.avi,train/028/K_05472.avi,97,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_05472.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_05472.npy
train/168/M_33531.avi,train/168/K_33531.avi,14,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_33531.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_33531.npy
train/021/M_04192.avi,train/021/K_04192.avi,160,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_04192.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_04192.npy
train/118/M_23482.avi,train/118/K_23482.avi,159,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_23482.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_23482.npy
train/060/M_11845.avi,train/060/K_11845.avi,38,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_11845.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_11845.npy
train/034/M_06714.avi,train/034/K_06714.avi,19,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_06714.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_06714.npy
train/136/M_27150.avi,train/136/K_27150.avi,32,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_27150.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_27150.npy
train/074/M_14616.avi,train/074/K_14616.avi,18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_14616.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_14616.npy
train/035/M_06855.avi,train/035/K_06855.avi,238,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_06855.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_06855.npy
train/043/M_08446.avi,train/043/K_08446.avi,157,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_08446.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_08446.npy
train/003/M_00492.avi,train/003/K_00492.avi,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_00492.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_00492.npy
train/008/M_01416.avi,train/008/K_01416.avi,38,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_01416.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_01416.npy
train/162/M_32295.avi,train/162/K_32295.avi,10,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_32295.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_32295.npy
train/011/M_02044.avi,train/011/K_02044.avi,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_02044.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_02044.npy
train/097/M_19277.avi,train/097/K_19277.avi,92,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_19277.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_19277.npy
train/160/M_31855.avi,train/160/K_31855.avi,238,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_31855.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_31855.npy
train/075/M_14954.avi,train/075/K_14954.avi,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_14954.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_14954.npy
train/094/M_18783.avi,train/094/K_18783.avi,18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_18783.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_18783.npy
train/031/M_06133.avi,train/031/K_06133.avi,120,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_06133.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_06133.npy
train/059/M_11655.avi,train/059/K_11655.avi,156,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_11655.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_11655.npy
train/020/M_03994.avi,train/020/K_03994.avi,19,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_03994.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_03994.npy
train/029/M_05646.avi,train/029/K_05646.avi,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_05646.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_05646.npy
train/012/M_02231.avi,train/012/K_02231.avi,38,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_02231.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_02231.npy
train/111/M_22055.avi,train/111/K_22055.avi,240,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_22055.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_22055.npy
train/004/M_00627.avi,train/004/K_00627.avi,13,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_00627.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_00627.npy
train/155/M_30857.avi,train/155/K_30857.avi,120,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_30857.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_30857.npy
train/155/M_30871.avi,train/155/K_30871.avi,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_30871.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_30871.npy
train/067/M_13348.avi,train/067/K_13348.avi,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_13348.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_13348.npy
train/046/M_09175.avi,train/046/K_09175.avi,238,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_09175.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_09175.npy
train/144/M_28779.avi,train/144/K_28779.avi,159,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_28779.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_28779.npy
train/016/M_03064.avi,train/016/K_03064.avi,222,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_03064.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_03064.npy
train/046/M_09013.avi,train/046/K_09013.avi,157,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_09013.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_09013.npy
train/042/M_08253.avi,train/042/K_08253.avi,18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_08253.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_08253.npy
train/065/M_12976.avi,train/065/K_12976.avi,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_12976.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_12976.npy
train/092/M_18236.avi,train/092/K_18236.avi,237,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_18236.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_18236.npy
train/159/M_31770.avi,train/159/K_31770.avi,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_31770.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_31770.npy
train/115/M_22951.avi,train/115/K_22951.avi,19,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_22951.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_22951.npy
train/178/M_35540.avi,train/178/K_35540.avi,37,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_35540.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_35540.npy
train/031/M_06005.avi,train/031/K_06005.avi,4,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_06005.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_06005.npy
train/011/M_02120.avi,train/011/K_02120.avi,92,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_02120.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_02120.npy
train/032/M_06358.avi,train/032/K_06358.avi,92,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_06358.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_06358.npy
train/171/M_34004.avi,train/171/K_34004.avi,239,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_34004.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_34004.npy
train/102/M_20228.avi,train/102/K_20228.avi,94,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_20228.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_20228.npy
train/133/M_26522.avi,train/133/K_26522.avi,36,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_26522.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_26522.npy
train/028/M_05451.avi,train/028/K_05451.avi,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_05451.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_05451.npy
train/097/M_19292.avi,train/097/K_19292.avi,120,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_19292.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_19292.npy
train/121/M_24176.avi,train/121/K_24176.avi,38,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_24176.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_24176.npy
train/001/M_00056.avi,train/001/K_00056.avi,97,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_00056.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_00056.npy
train/142/M_28220.avi,train/142/K_28220.avi,92,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_28220.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_28220.npy
train/154/M_30609.avi,train/154/K_30609.avi,135,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_30609.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_30609.npy
train/087/M_17383.avi,train/087/K_17383.avi,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_17383.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_17383.npy
train/095/M_18846.avi,train/095/K_18846.avi,96,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_18846.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_18846.npy
train/141/M_28117.avi,train/141/K_28117.avi,97,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_28117.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_28117.npy
train/149/M_29646.avi,train/149/K_29646.avi,52,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_29646.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_29646.npy
train/091/M_18165.avi,train/091/K_18165.avi,157,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_18165.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_18165.npy
train/048/M_09409.avi,train/048/K_09409.avi,18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_09409.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_09409.npy
train/064/M_12761.avi,train/064/K_12761.avi,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,/home/jupyter/CV_Project/ie590_project/data/feature_maps/M_12761.npy,/home/jupyter/CV_Project/ie590_project/data/feature_maps/K_12761.npy
