M,K,label_idx,Both_Hands,M_Out,M_In,M_Up,M_Down,M_Front,M_Back,M_Iterative,O_Out,O_In,O_Up,O_Down,O_Front,O_Back,F_Thumb,F_Index,F_Middle,F_Ring,F_Pinky
train/003/M_00495.avi,train/003/K_00495.avi,241,,,,,,,,,,,,,,,,,,,
train/003/M_00499.avi,train/003/K_00499.avi,237,,,,,,,,,,,,,,,,,,,
train/003/M_00500.avi,train/003/K_00500.avi,18,,,,,,,,,,,,,,,,,,,
train/003/M_00501.avi,train/003/K_00501.avi,127,,,,,,,,,,,,,,,,,,,
train/003/M_00503.avi,train/003/K_00503.avi,5,,,,,,,,,,,,,,,,,,,
train/003/M_00507.avi,train/003/K_00507.avi,160,,,,,,,,,,,,,,,,,,,
train/003/M_00509.avi,train/003/K_00509.avi,239,,,,,,,,,,,,,,,,,,,
train/003/M_00510.avi,train/003/K_00510.avi,155,,,,,,,,,,,,,,,,,,,
train/003/M_00516.avi,train/003/K_00516.avi,209,,,,,,,,,,,,,,,,,,,
train/003/M_00518.avi,train/003/K_00518.avi,155,,,,,,,,,,,,,,,,,,,
train/003/M_00519.avi,train/003/K_00519.avi,213,,,,,,,,,,,,,,,,,,,
train/003/M_00523.avi,train/003/K_00523.avi,213,,,,,,,,,,,,,,,,,,,
train/003/M_00525.avi,train/003/K_00525.avi,56,,,,,,,,,,,,,,,,,,,
train/003/M_00527.avi,train/003/K_00527.avi,127,,,,,,,,,,,,,,,,,,,
train/003/M_00528.avi,train/003/K_00528.avi,241,,,,,,,,,,,,,,,,,,,
train/003/M_00531.avi,train/003/K_00531.avi,32,,,,,,,,,,,,,,,,,,,
train/003/M_00535.avi,train/003/K_00535.avi,97,,,,,,,,,,,,,,,,,,,
train/003/M_00539.avi,train/003/K_00539.avi,19,,,,,,,,,,,,,,,,,,,
train/003/M_00544.avi,train/003/K_00544.avi,34,,,,,,,,,,,,,,,,,,,
train/003/M_00545.avi,train/003/K_00545.avi,31,,,,,,,,,,,,,,,,,,,
train/003/M_00550.avi,train/003/K_00550.avi,56,,,,,,,,,,,,,,,,,,,
train/003/M_00551.avi,train/003/K_00551.avi,51,,,,,,,,,,,,,,,,,,,
train/003/M_00554.avi,train/003/K_00554.avi,154,,,,,,,,,,,,,,,,,,,
train/003/M_00555.avi,train/003/K_00555.avi,155,,,,,,,,,,,,,,,,,,,
train/003/M_00559.avi,train/003/K_00559.avi,96,,,,,,,,,,,,,,,,,,,
train/003/M_00562.avi,train/003/K_00562.avi,8,,,,,,,,,,,,,,,,,,,
train/003/M_00564.avi,train/003/K_00564.avi,97,,,,,,,,,,,,,,,,,,,
train/003/M_00567.avi,train/003/K_00567.avi,38,,,,,,,,,,,,,,,,,,,
train/003/M_00574.avi,train/003/K_00574.avi,159,,,,,,,,,,,,,,,,,,,
train/003/M_00575.avi,train/003/K_00575.avi,52,,,,,,,,,,,,,,,,,,,
train/003/M_00579.avi,train/003/K_00579.avi,90,,,,,,,,,,,,,,,,,,,
train/003/M_00581.avi,train/003/K_00581.avi,159,,,,,,,,,,,,,,,,,,,
train/003/M_00582.avi,train/003/K_00582.avi,154,,,,,,,,,,,,,,,,,,,
train/003/M_00584.avi,train/003/K_00584.avi,135,,,,,,,,,,,,,,,,,,,
train/003/M_00586.avi,train/003/K_00586.avi,209,,,,,,,,,,,,,,,,,,,
train/003/M_00587.avi,train/003/K_00587.avi,120,,,,,,,,,,,,,,,,,,,
train/003/M_00588.avi,train/003/K_00588.avi,127,,,,,,,,,,,,,,,,,,,
train/003/M_00590.avi,train/003/K_00590.avi,91,,,,,,,,,,,,,,,,,,,
train/003/M_00593.avi,train/003/K_00593.avi,50,,,,,,,,,,,,,,,,,,,
train/003/M_00599.avi,train/003/K_00599.avi,237,,,,,,,,,,,,,,,,,,,
train/004/M_00603.avi,train/004/K_00603.avi,156,,,,,,,,,,,,,,,,,,,
train/004/M_00607.avi,train/004/K_00607.avi,32,,,,,,,,,,,,,,,,,,,
train/004/M_00615.avi,train/004/K_00615.avi,36,,,,,,,,,,,,,,,,,,,
train/004/M_00617.avi,train/004/K_00617.avi,49,,,,,,,,,,,,,,,,,,,
train/004/M_00618.avi,train/004/K_00618.avi,188,,,,,,,,,,,,,,,,,,,
train/004/M_00619.avi,train/004/K_00619.avi,92,,,,,,,,,,,,,,,,,,,
train/004/M_00622.avi,train/004/K_00622.avi,36,,,,,,,,,,,,,,,,,,,
train/004/M_00623.avi,train/004/K_00623.avi,90,,,,,,,,,,,,,,,,,,,
train/004/M_00626.avi,train/004/K_00626.avi,188,,,,,,,,,,,,,,,,,,,
train/004/M_00627.avi,train/004/K_00627.avi,13,,,,,,,,,,,,,,,,,,,
train/004/M_00633.avi,train/004/K_00633.avi,13,,,,,,,,,,,,,,,,,,,
train/004/M_00640.avi,train/004/K_00640.avi,157,,,,,,,,,,,,,,,,,,,
train/004/M_00642.avi,train/004/K_00642.avi,10,,,,,,,,,,,,,,,,,,,
train/004/M_00645.avi,train/004/K_00645.avi,38,,,,,,,,,,,,,,,,,,,
train/004/M_00646.avi,train/004/K_00646.avi,13,,,,,,,,,,,,,,,,,,,
train/004/M_00647.avi,train/004/K_00647.avi,239,,,,,,,,,,,,,,,,,,,
train/004/M_00649.avi,train/004/K_00649.avi,10,,,,,,,,,,,,,,,,,,,
train/004/M_00650.avi,train/004/K_00650.avi,91,,,,,,,,,,,,,,,,,,,
train/004/M_00654.avi,train/004/K_00654.avi,97,,,,,,,,,,,,,,,,,,,
train/004/M_00657.avi,train/004/K_00657.avi,38,,,,,,,,,,,,,,,,,,,
train/004/M_00659.avi,train/004/K_00659.avi,32,,,,,,,,,,,,,,,,,,,
train/004/M_00660.avi,train/004/K_00660.avi,5,,,,,,,,,,,,,,,,,,,
train/004/M_00662.avi,train/004/K_00662.avi,10,,,,,,,,,,,,,,,,,,,
train/004/M_00666.avi,train/004/K_00666.avi,120,,,,,,,,,,,,,,,,,,,
train/004/M_00669.avi,train/004/K_00669.avi,158,,,,,,,,,,,,,,,,,,,
train/004/M_00680.avi,train/004/K_00680.avi,213,,,,,,,,,,,,,,,,,,,
train/004/M_00683.avi,train/004/K_00683.avi,5,,,,,,,,,,,,,,,,,,,
train/004/M_00686.avi,train/004/K_00686.avi,51,,,,,,,,,,,,,,,,,,,
train/004/M_00687.avi,train/004/K_00687.avi,8,,,,,,,,,,,,,,,,,,,
train/004/M_00688.avi,train/004/K_00688.avi,94,,,,,,,,,,,,,,,,,,,
train/004/M_00689.avi,train/004/K_00689.avi,213,,,,,,,,,,,,,,,,,,,
train/004/M_00690.avi,train/004/K_00690.avi,56,,,,,,,,,,,,,,,,,,,
train/004/M_00693.avi,train/004/K_00693.avi,157,,,,,,,,,,,,,,,,,,,
train/004/M_00699.avi,train/004/K_00699.avi,8,,,,,,,,,,,,,,,,,,,
train/004/M_00701.avi,train/004/K_00701.avi,117,,,,,,,,,,,,,,,,,,,
train/004/M_00705.avi,train/004/K_00705.avi,4,,,,,,,,,,,,,,,,,,,
train/004/M_00716.avi,train/004/K_00716.avi,38,,,,,,,,,,,,,,,,,,,
train/004/M_00718.avi,train/004/K_00718.avi,90,,,,,,,,,,,,,,,,,,,
train/004/M_00722.avi,train/004/K_00722.avi,93,,,,,,,,,,,,,,,,,,,
train/004/M_00724.avi,train/004/K_00724.avi,90,,,,,,,,,,,,,,,,,,,
train/004/M_00727.avi,train/004/K_00727.avi,223,,,,,,,,,,,,,,,,,,,
train/004/M_00730.avi,train/004/K_00730.avi,37,,,,,,,,,,,,,,,,,,,
train/004/M_00734.avi,train/004/K_00734.avi,158,,,,,,,,,,,,,,,,,,,
train/004/M_00735.avi,train/004/K_00735.avi,223,,,,,,,,,,,,,,,,,,,
train/004/M_00737.avi,train/004/K_00737.avi,241,,,,,,,,,,,,,,,,,,,
train/004/M_00740.avi,train/004/K_00740.avi,92,,,,,,,,,,,,,,,,,,,
train/004/M_00742.avi,train/004/K_00742.avi,240,,,,,,,,,,,,,,,,,,,
train/004/M_00756.avi,train/004/K_00756.avi,90,,,,,,,,,,,,,,,,,,,
train/004/M_00759.avi,train/004/K_00759.avi,50,,,,,,,,,,,,,,,,,,,
train/004/M_00760.avi,train/004/K_00760.avi,4,,,,,,,,,,,,,,,,,,,
train/004/M_00762.avi,train/004/K_00762.avi,209,,,,,,,,,,,,,,,,,,,
train/004/M_00763.avi,train/004/K_00763.avi,157,,,,,,,,,,,,,,,,,,,
train/004/M_00765.avi,train/004/K_00765.avi,19,,,,,,,,,,,,,,,,,,,
train/004/M_00767.avi,train/004/K_00767.avi,158,,,,,,,,,,,,,,,,,,,
train/004/M_00769.avi,train/004/K_00769.avi,4,,,,,,,,,,,,,,,,,,,
train/004/M_00770.avi,train/004/K_00770.avi,51,,,,,,,,,,,,,,,,,,,
train/004/M_00774.avi,train/004/K_00774.avi,5,,,,,,,,,,,,,,,,,,,
train/004/M_00787.avi,train/004/K_00787.avi,49,,,,,,,,,,,,,,,,,,,
train/004/M_00789.avi,train/004/K_00789.avi,37,,,,,,,,,,,,,,,,,,,
train/004/M_00790.avi,train/004/K_00790.avi,117,,,,,,,,,,,,,,,,,,,
train/004/M_00792.avi,train/004/K_00792.avi,239,,,,,,,,,,,,,,,,,,,
train/004/M_00794.avi,train/004/K_00794.avi,209,,,,,,,,,,,,,,,,,,,
train/004/M_00795.avi,train/004/K_00795.avi,19,,,,,,,,,,,,,,,,,,,
train/004/M_00797.avi,train/004/K_00797.avi,158,,,,,,,,,,,,,,,,,,,
train/005/M_00803.avi,train/005/K_00803.avi,50,,,,,,,,,,,,,,,,,,,
train/005/M_00806.avi,train/005/K_00806.avi,18,,,,,,,,,,,,,,,,,,,
train/005/M_00808.avi,train/005/K_00808.avi,155,,,,,,,,,,,,,,,,,,,
train/005/M_00809.avi,train/005/K_00809.avi,31,,,,,,,,,,,,,,,,,,,
train/005/M_00811.avi,train/005/K_00811.avi,55,,,,,,,,,,,,,,,,,,,
train/005/M_00813.avi,train/005/K_00813.avi,29,,,,,,,,,,,,,,,,,,,
train/005/M_00815.avi,train/005/K_00815.avi,213,,,,,,,,,,,,,,,,,,,
train/005/M_00817.avi,train/005/K_00817.avi,50,,,,,,,,,,,,,,,,,,,
train/005/M_00820.avi,train/005/K_00820.avi,5,,,,,,,,,,,,,,,,,,,
train/005/M_00823.avi,train/005/K_00823.avi,5,,,,,,,,,,,,,,,,,,,
train/005/M_00824.avi,train/005/K_00824.avi,32,,,,,,,,,,,,,,,,,,,
train/005/M_00831.avi,train/005/K_00831.avi,49,,,,,,,,,,,,,,,,,,,
train/005/M_00834.avi,train/005/K_00834.avi,5,,,,,,,,,,,,,,,,,,,
train/005/M_00837.avi,train/005/K_00837.avi,188,,,,,,,,,,,,,,,,,,,
train/005/M_00838.avi,train/005/K_00838.avi,90,,,,,,,,,,,,,,,,,,,
train/005/M_00842.avi,train/005/K_00842.avi,29,,,,,,,,,,,,,,,,,,,
train/005/M_00843.avi,train/005/K_00843.avi,160,,,,,,,,,,,,,,,,,,,
train/005/M_00844.avi,train/005/K_00844.avi,237,,,,,,,,,,,,,,,,,,,
train/005/M_00846.avi,train/005/K_00846.avi,37,,,,,,,,,,,,,,,,,,,
train/005/M_00847.avi,train/005/K_00847.avi,117,,,,,,,,,,,,,,,,,,,
